batch_label,source_row_no,language_code,headword,primary_definition,english_translation,swahili_translation,part_of_speech,dialect_variant,register,pronunciation_ipa,etymology,audio_url,category,created_by,source_name,source_license,source_url,source_note
BATCH_SWEN_FREEDICT_2026_02_24_A,30,sw,bibi,lady; lady,mabibi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,31,sw,bingwa,"specialist, expert; clever person; champion; specialist, expert; clever person; champion",mabingwa,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,32,sw,binti,daughter; miss; young lady; daughter; miss; young lady,mabinti,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,33,sw,birika,kettle; kettle,mabirika,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,34,sw,bisha hodi,ask permission to enter; knock at the door; ask permission to enter; knock at the door,piga hodi,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,35,sw,bomba,pump; pump,mabomba,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,36,sw,bonde,valley; depression; valley; depression,mabonde,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,37,sw,bosi,boss; boss,mabosi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,38,sw,bufuu,shell; shell,mabufuu,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,39,sw,buibui,spider; purdah; spider; purdah,mabuibui,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,40,sw,buli,teapot; teapot,mabuli,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,41,sw,bustani,garden; garden,mabustani,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,42,sw,bwana,gentleman; gentleman,mabwana,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,43,sw,bwanaarusi,groom; groom,mabwanaarusi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,44,sw,bweni,dormitory; dormitory,mabweni,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,45,sw,chaguo,choice; choice,machaguo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,46,sw,chakula,food; meal; food; meal,vyakula,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,47,sw,chama,association; party; association; party,vyama,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,48,sw,chandarua,mosquito net; mosquito net,vyandarua,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,49,sw,changamano,"mixture, blend; cooperation; association, union; mixture, blend; cooperation; association, union",machangamano,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,50,sw,cheleo,delay; delay,macheleo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,51,sw,cheo,"measure; grade, rank, rate; measure; grade, rank, rate",vyeo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,52,sw,cheti,certificate; testimony; certificate; testimony,vyeti,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,53,sw,chombo,"jug, box, container; vase, vessel; jug, box, container; vase, vessel",vyombo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,54,sw,choo,"dung, excrement; latrine; dung, excrement; latrine",vyoo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,55,sw,chuma,"iron, metal; iron, metal",vyuma,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,56,sw,chumba,"room, chamber; room, chamber",vyumba,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,57,sw,chungu,cooking pot; jug; cooking pot; jug,vyungu,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,58,sw,chungwa,orange; orange,machungwa,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,59,sw,chuo,school; school,vyuo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,60,sw,chura,frog; frog,vyura,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,61,sw,daftari,notebook; notebook,madaftari,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,62,sw,dafu,coconut; coconut,madafu,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,63,sw,daktari,"doctor, physician; doctor, physician",madaktari,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,64,sw,daladala,local minibus in Tanzania; local minibus in Tanzania,madaladala,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,65,sw,daladala,local minibus in Tanzania; local minibus in Tanzania,matatu,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,66,sw,daraja,"stairs; bridge; rank, position; stairs; bridge; rank, position",madaraja,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,67,sw,darasa,class; class,madarasa,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,68,sw,dawa,"drug, medicine, pharmaceutical; drug, medicine, pharmaceutical",madawa,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,69,sw,deni,"debt, loan; debt, loan",madeni,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,70,sw,deski,desk; desk,madeski,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,71,sw,dirisha,window; window,madirisha,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,72,sw,doa,spot; spot,madoa,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,73,sw,dobi,"launderer, laundryman, laundrywoman; washer, washerman, washerwoman; launderer, laundryman, laundrywoman; washer, washerman, washerwoman",madobi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,74,sw,duka,"shop, store, boutique; shop, store, boutique",maduka,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,75,sw,dunia,world; world,ulimwengu,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,76,sw,elezo,explanation; explanation,maelezo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,77,sw,embe,mango; mango,maembe,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,78,sw,enda,go; go,nenda,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,79,sw,eneo,area; area,maeneo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,80,sw,eropleni,"airplane, plane; airplane, plane",ndege,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,81,sw,fanikio,"success, achievement; success, achievement",mafanikio,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,82,sw,fedha,money; silver; money; silver,hela,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,83,sw,fedha,money; silver; money; silver,pesa,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,84,sw,figo,kidney; kidney,mafigo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,85,sw,fujo,chaos; chaos,mafujo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,86,sw,fundi,craftsman; craftsman,mafundi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,87,sw,fundisho,lesson; lesson,mafundisho,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,88,sw,fundo,knot; knot,mafundo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,89,sw,furushi,bundle; bundle,mafurushi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,90,sw,ganda,"bark, husk, peel, shell; bark, husk, peel, shell",maganda,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,91,sw,gari,wheeled vehicle; wheeled vehicle,magari,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,92,sw,gauni,"dress, gown; dress, gown",magauni,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,93,sw,gazeti,newspaper; newspaper,magazeti,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,94,sw,gego,molar; molar,magego,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,95,sw,gereza,"prison, jail; prison, jail",magereza,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,96,sw,goti,knee; knee,magoti,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,97,sw,gunia,sack; sack,magunia,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,98,sw,gurudumu,wheel; wheel,magurudumu,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,99,sw,haina,it does not have; it does not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,100,sw,hakina,it does not have; it does not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,101,sw,hakuna,there is not; there are not; there is not; there are not,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,102,sw,halina,it does not have; it does not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,103,sw,hamna,you; you,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,104,sw,hamna,is not inside; are not inside; is not inside; are not inside,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,105,sw,hana,he does not have; she does not have; it does not have; he does not have; she does not have; it does not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,106,sw,hapana,there is not; there are not; there is not; there are not,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,107,sw,hapana,no; no,la,,interj,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,108,sw,hatibu,speaker; speaker,mahatibu,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
